,image,gen_caption
4775,04658.png,two dogs are playing in the sand .
4776,14652.png,the dog is walking through the air while the woman looks on .
4777,46152.png,person in black shirt and white shirt is walking on the sidewalk .
4778,07895.png,man with glasses and glasses is holding up and white and blue cap .
4779,72490.png,man and woman are posing for picture .
4780,48069.png,group of men and women are standing around each other .
4781,08937.png,woman in red shirt and white cap is looking at the camera .
4782,54179.png,three women in red shirts and white shirts are sitting on the ground .
4783,31095.png,man in black shirt and white shorts is standing in front of an orange wall .
4784,90681.png,two men are standing on the floor and holding cup .
4785,40182.png,woman with black hair and white shirt is standing in front of her hand .
4786,93041.png,the dog is standing in front of the train .
4787,94836.png,the child is wearing blue shirt and is sitting on the wall .
4788,56489.png,two people are walking down the street with their arms around the ground .
4789,10278.png,man in black shirt and jeans is sitting on the side of the wall .
4790,57209.png,woman wearing orange jacket sitting on bench and holding sign .
4791,92568.png,two young boys are sitting on the sidewalk .
4792,79605.png,woman in blue jacket and brown pants is walking down dirt road .
4793,54370.png,group of people are sitting in front of red wall .
4794,34670.png,two women and two women are standing in front of white wall .
4795,95687.png,three men are standing in front of wall and holding sign .
4796,89603.png,two women are sitting on the ground next to each other .
4797,16548.png,man in white shirt and black pants is sitting on the ground .
4798,85743.png,an old man and woman in front of an orange sign .
4799,95306.png,woman in white shirt and blue shirt is holding up to her hand .
4800,18273.png,man in blue shirt and black pants walking down street .
4801,57394.png,two women are standing on the edge of the wall and one is holding up and one hand .
4802,59047.png,woman in blue shirt and white shirt is sitting on white couch .
4803,60389.png,man with red shirt and white shirt and glasses is holding up sign .
4804,03765.png,the woman in the black jacket is holding white dog .
4805,28049.png,man in black jacket and black jacket is standing in front of white building .
4806,76920.png,woman and dog are playing with her arms .
4807,97826.png,two men in green shirts are holding camera .
4808,49832.png,man in white shirt and black cap is holding up sign .
4809,10462.png,two men and woman are looking at the camera .
4810,23875.png,the white dog has its mouth open .
4811,48579.png,man and woman are walking down the street .
4812,65981.png,dog running with ball in his mouth .
4813,39827.png,the man in the black shirt is holding his head .
4814,07582.png,two people are standing together and playing with blue and white wall .
4815,39478.png,man in suit and glasses looking at the camera .
4816,15328.png,woman in white dress and black dress is holding hands .
4817,80941.png,two men and woman are posing for picture .
4818,49703.png,man in black and white shirt and brown jacket is standing in front of an orange sign .
4819,93471.png,closeup of person is sitting in the middle of the water .
4820,02461.png,two men and woman are playing with their arms around each other .
4821,60439.png,group of women and two women pose for picture .
4822,04876.png,man in blue shirt and blue shorts is standing on the ground .
4823,36840.png,woman with sunglasses and white shirt and brown hair is smiling .
4824,56738.png,two people are playing with ball in the grass .
4825,75036.png,man in black shirt and jeans is standing on the floor .
4826,23109.png,the man and woman are sitting on the floor and holding white dog .
4827,84395.png,the girl in the orange shirt is wearing black and white shirt .
4828,20539.png,two men and two men are standing together .
4829,92187.png,the boy in the red shirt is jumping on the wall .
4830,20918.png,the woman is walking through the water .
4831,17469.png,woman in blue shirt and white shirt is standing in front of white wall .
4832,57418.png,child in red and white shirt is riding his bike .
4833,21748.png,two people are walking through the grass .
4834,36501.png,three people are sitting on the grass .
4835,26750.png,two men are riding their bikes on the street .
4836,08267.png,woman in white shirt and sunglasses is standing in front of white wall .
4837,83201.png,woman in blue shirt and blue cap is holding up sign .
4838,46715.png,young girl in an orange dress is sitting on the wall .
4839,23476.png,the man is wearing black shirt and holding his hand .
4840,12495.png,two men are standing on the side of the side of the road .
4841,40897.png,man and woman are posing for picture .
4842,45036.png,two women in white shirts and black shirts are walking along the street .
4843,50248.png,white and brown and white dog is walking on the grass .
4844,10649.png,two women in white shirts are sitting on the floor .
4845,64758.png,group of people are riding on the street .
4846,06179.png,two men and woman are smiling and one has their heads .
4847,49861.png,the man in the black shirt and white shirt is standing on the ground .
4848,71429.png,woman in white dress and black pants sits on the sidewalk .
4849,69403.png,man in black shirt and white shorts is in front of white building .
4850,39725.png,woman with black hair and white shirt and brown hair is smiling .
4851,08597.png,two women are walking along the street .
4852,83170.png,the man is sitting on bench with his head and is sitting on the ground .
4853,61973.png,man in black and white shirt and black jacket .
4854,43895.png,black and white dog is walking through the grass .
